domain,month,desktop,mobile_web,mobile_app,total
ta.wiktionary.org,2015-07,107203,92985,,200188
ta.wiktionary.org,2015-08,115494,64763,,180257
ta.wiktionary.org,2015-09,109100,60094,,169194
ta.wiktionary.org,2015-10,121474,63949,,185423
ta.wiktionary.org,2015-11,97940,64279,,162219
ta.wiktionary.org,2015-12,124539,73199,,197738
ta.wiktionary.org,2016-01,133181,82718,,215899
ta.wiktionary.org,2016-02,126623,72016,,198639
ta.wiktionary.org,2016-03,391316,74169,,465485
ta.wiktionary.org,2016-04,1107722,69729,,1177451
ta.wiktionary.org,2016-05,168104,76449,,244553
ta.wiktionary.org,2016-06,156879,74670,,231549
ta.wiktionary.org,2016-07,117032,91735,,208767
ta.wiktionary.org,2016-08,158088,100306,,258394
ta.wiktionary.org,2016-09,127757,100434,1,228192
ta.wiktionary.org,2016-10,195897,107419,,303316
ta.wiktionary.org,2016-11,130061,117238,,247299
ta.wiktionary.org,2016-12,115929,121899,,237828
ta.wiktionary.org,2017-01,122095,146238,,268333
ta.wiktionary.org,2017-02,122238,164280,,286518
ta.wiktionary.org,2017-03,206946,199403,,406349
ta.wiktionary.org,2017-04,117805,184183,,301988
ta.wiktionary.org,2017-05,135844,185325,,321169
ta.wiktionary.org,2017-06,135441,192938,,328379
ta.wiktionary.org,2017-07,165782,231095,,396877
ta.wiktionary.org,2017-08,141030,239618,,380648
ta.wiktionary.org,2017-09,128118,208392,,336510
ta.wiktionary.org,2017-10,129307,227136,,356443
ta.wiktionary.org,2017-11,127294,224870,,352164
ta.wiktionary.org,2017-12,123705,220020,,343725
ta.wiktionary.org,2018-01,132059,261600,,393659
ta.wiktionary.org,2018-02,120990,236722,,357712
ta.wiktionary.org,2018-03,117193,262546,,379739
ta.wiktionary.org,2018-04,172283,204070,,376353
ta.wiktionary.org,2018-05,383550,204214,8,587772
ta.wiktionary.org,2018-06,416852,274715,,691567
ta.wiktionary.org,2018-07,176798,338442,,515240
ta.wiktionary.org,2018-08,156601,382890,,539491
ta.wiktionary.org,2018-09,166799,384814,,551613
ta.wiktionary.org,2018-10,162017,457374,,619391
ta.wiktionary.org,2018-11,153252,405570,,558822
ta.wiktionary.org,2018-12,161205,481488,,642693
ta.wiktionary.org,2019-01,200851,513289,,714140
ta.wiktionary.org,2019-02,178618,484584,,663202
ta.wiktionary.org,2019-03,160418,522017,1,682436
ta.wiktionary.org,2019-04,154251,431017,,585268
ta.wiktionary.org,2019-05,141456,401208,,542664
ta.wiktionary.org,2019-06,186834,578965,,765799
ta.wiktionary.org,2019-07,311044,655142,5,966191
ta.wiktionary.org,2019-08,333642,701936,,1035578
ta.wiktionary.org,2019-09,217567,710060,,927627
ta.wiktionary.org,2019-10,173154,838428,18,1011600
ta.wiktionary.org,2019-11,212821,889016,4,1101841
ta.wiktionary.org,2019-12,129863,754823,5,884691
ta.wiktionary.org,2020-01,127030,857640,2,984672
ta.wiktionary.org,2020-02,135780,790474,2,926256
ta.wiktionary.org,2020-03,117397,830608,1,948006
ta.wiktionary.org,2020-04,152577,1045202,158,1197937
ta.wiktionary.org,2020-05,191275,748625,494,940394
ta.wiktionary.org,2020-06,151218,684780,209,836207
ta.wiktionary.org,2020-07,160567,730546,72,891185
ta.wiktionary.org,2020-08,147544,770380,,917924
ta.wiktionary.org,2020-09,161876,755150,,917026
ta.wiktionary.org,2020-10,151928,778662,,930590
ta.wiktionary.org,2020-11,128107,761143,,889250
ta.wiktionary.org,2020-12,143166,924822,,1067988
ta.wiktionary.org,2021-01,143143,819462,,962605
